Entity,Code,Year,Population
United Kingdom,GBR,1901,38384248
United Kingdom,GBR,1902,38777696
United Kingdom,GBR,1903,39162544
United Kingdom,GBR,1904,39545832
United Kingdom,GBR,1905,39927928
United Kingdom,GBR,1906,40309912
United Kingdom,GBR,1907,40686072
United Kingdom,GBR,1908,41076864
United Kingdom,GBR,1909,41462504
United Kingdom,GBR,1910,41804912
United Kingdom,GBR,1911,42161532
United Kingdom,GBR,1912,42416768
United Kingdom,GBR,1913,42689944
United Kingdom,GBR,1914,43017768
United Kingdom,GBR,1915,43325208
United Kingdom,GBR,1916,43529628
United Kingdom,GBR,1917,43608876
United Kingdom,GBR,1918,43596368
United Kingdom,GBR,1919,43644588
United Kingdom,GBR,1920,43825720
United Kingdom,GBR,1921,44137848
United Kingdom,GBR,1922,44431072
United Kingdom,GBR,1923,44712604
United Kingdom,GBR,1924,44942040
United Kingdom,GBR,1925,45154444
United Kingdom,GBR,1926,45312744
United Kingdom,GBR,1927,45486076
United Kingdom,GBR,1928,45633020
United Kingdom,GBR,1929,45792324
United Kingdom,GBR,1930,45957972
United Kingdom,GBR,1931,46179392
United Kingdom,GBR,1932,46397808
United Kingdom,GBR,1933,46595516
United Kingdom,GBR,1934,46773520
United Kingdom,GBR,1935,46960876
United Kingdom,GBR,1936,47168936
United Kingdom,GBR,1937,47378000
United Kingdom,GBR,1938,47681912
United Kingdom,GBR,1939,47994840
United Kingdom,GBR,1940,48235964
United Kingdom,GBR,1941,48372560
United Kingdom,GBR,1942,48560584
United Kingdom,GBR,1943,48827756
United Kingdom,GBR,1944,49088920
United Kingdom,GBR,1945,49231856
United Kingdom,GBR,1946,49399844
United Kingdom,GBR,1947,49677704
United Kingdom,GBR,1948,50043400
United Kingdom,GBR,1949,50409764
United Kingdom,GBR,1950,50616000
United Kingdom,GBR,1951,50602000
United Kingdom,GBR,1952,50651000
United Kingdom,GBR,1953,50751000
United Kingdom,GBR,1954,50891000
United Kingdom,GBR,1955,51064000
United Kingdom,GBR,1956,51266000
United Kingdom,GBR,1957,51496000
United Kingdom,GBR,1958,51755000
United Kingdom,GBR,1959,52046000
United Kingdom,GBR,1960,52371000
United Kingdom,GBR,1961,52728000
United Kingdom,GBR,1962,53109000
United Kingdom,GBR,1963,53501000
United Kingdom,GBR,1964,53883000
United Kingdom,GBR,1965,54241000
United Kingdom,GBR,1966,54569000
United Kingdom,GBR,1967,54867000
United Kingdom,GBR,1968,55133000
United Kingdom,GBR,1969,55368000
United Kingdom,GBR,1970,55573000
United Kingdom,GBR,1971,55749000
United Kingdom,GBR,1972,55892000
United Kingdom,GBR,1973,56006000
United Kingdom,GBR,1974,56092000
United Kingdom,GBR,1975,56152000
United Kingdom,GBR,1976,56188000
United Kingdom,GBR,1977,56204000
United Kingdom,GBR,1978,56206000
United Kingdom,GBR,1979,56205000
United Kingdom,GBR,1980,56209000
United Kingdom,GBR,1981,56221000
United Kingdom,GBR,1982,56241000
United Kingdom,GBR,1983,56277000
United Kingdom,GBR,1984,56333000
United Kingdom,GBR,1985,56414000
United Kingdom,GBR,1986,56523000
United Kingdom,GBR,1987,56658000
United Kingdom,GBR,1988,56813000
United Kingdom,GBR,1989,56974000
United Kingdom,GBR,1990,57134000
United Kingdom,GBR,1991,57291000
United Kingdom,GBR,1992,57446000
United Kingdom,GBR,1993,57602000
United Kingdom,GBR,1994,57763000
United Kingdom,GBR,1995,57932000
United Kingdom,GBR,1996,58114000
United Kingdom,GBR,1997,58307000
United Kingdom,GBR,1998,58510000
United Kingdom,GBR,1999,58716000
United Kingdom,GBR,2000,58923000
United Kingdom,GBR,2001,59124000
United Kingdom,GBR,2002,59326000
United Kingdom,GBR,2003,59561000
United Kingdom,GBR,2004,59873000
United Kingdom,GBR,2005,60288000
United Kingdom,GBR,2006,60821000
United Kingdom,GBR,2007,61455000
United Kingdom,GBR,2008,62145000
United Kingdom,GBR,2009,62829000
United Kingdom,GBR,2010,63460000
United Kingdom,GBR,2011,64022000
United Kingdom,GBR,2012,64525000
United Kingdom,GBR,2013,64984000
United Kingdom,GBR,2014,65423000
United Kingdom,GBR,2015,65860000
United Kingdom,GBR,2016,66298000
United Kingdom,GBR,2017,66727000
United Kingdom,GBR,2018,67142000
United Kingdom,GBR,2019,67530000
United States,USA,1901,79271168
United States,USA,1902,80720440
United States,USA,1903,82271904
United States,USA,1904,83870024
United States,USA,1905,85524304
United States,USA,1906,87227464
United States,USA,1907,88838848
United States,USA,1908,90615784
United States,USA,1909,92361976
United States,USA,1910,94088792
United States,USA,1911,95858320
United States,USA,1912,97526184
United States,USA,1913,99341520
United States,USA,1914,101146656
United States,USA,1915,102789832
United States,USA,1916,104282472
United States,USA,1917,105675728
United States,USA,1918,106721808
United States,USA,1919,107762376
United States,USA,1920,109122856
United States,USA,1921,110824640
United States,USA,1922,112694536
United States,USA,1923,114594312
United States,USA,1924,116564056
United States,USA,1925,118421720
United States,USA,1926,120100752
United States,USA,1927,121692504
United States,USA,1928,123182720
United States,USA,1929,124597536
United States,USA,1930,125841184
United States,USA,1931,126924880
United States,USA,1932,127777984
United States,USA,1933,128574368
United States,USA,1934,129397240
United States,USA,1935,130246608
United States,USA,1936,131090880
United States,USA,1937,131979640
United States,USA,1938,132950240
United States,USA,1939,134027824
United States,USA,1940,135198128
United States,USA,1941,136504608
United States,USA,1942,138078704
United States,USA,1943,139781840
United States,USA,1944,141509776
United States,USA,1945,143095072
United States,USA,1946,145048176
United States,USA,1947,147333408
United States,USA,1948,149992560
United States,USA,1949,154449952
United States,USA,1950,158804000
United States,USA,1951,160872000
United States,USA,1952,163266000
United States,USA,1953,165910000
United States,USA,1954,168736000
United States,USA,1955,171684992
United States,USA,1956,174704992
United States,USA,1957,177751008
United States,USA,1958,180788000
United States,USA,1959,183786000
United States,USA,1960,186720992
United States,USA,1961,189570000
United States,USA,1962,192314000
United States,USA,1963,194932000
United States,USA,1964,197408000
United States,USA,1965,199734000
United States,USA,1966,201896000
United States,USA,1967,203904992
United States,USA,1968,205806000
United States,USA,1969,207659008
United States,USA,1970,209512992
United States,USA,1971,211384000
United States,USA,1972,213270000
United States,USA,1973,215179008
United States,USA,1974,217115008
United States,USA,1975,219080992
United States,USA,1976,221086000
United States,USA,1977,223136000
United States,USA,1978,225223008
United States,USA,1979,227339008
United States,USA,1980,229476000
United States,USA,1981,231636000
United States,USA,1982,233822000
United States,USA,1983,236030000
United States,USA,1984,238256992
United States,USA,1985,240500000
United States,USA,1986,242763008
United States,USA,1987,245052992
United States,USA,1988,247372000
United States,USA,1989,249726000
United States,USA,1990,252120000
United States,USA,1991,254539008
United States,USA,1992,256991008
United States,USA,1993,259532000
United States,USA,1994,262240992
United States,USA,1995,265164000
United States,USA,1996,268335008
United States,USA,1997,271713984
United States,USA,1998,275175008
United States,USA,1999,278548000
United States,USA,2000,281711008
United States,USA,2001,284608000
United States,USA,2002,287279008
United States,USA,2003,289816000
United States,USA,2004,292355008
United States,USA,2005,294993984
United States,USA,2006,297759008
United States,USA,2007,300608000
United States,USA,2008,303486016
United States,USA,2009,306308000
United States,USA,2010,309011008
United States,USA,2011,311584000
United States,USA,2012,314044000
United States,USA,2013,316400992
United States,USA,2014,318672992
United States,USA,2015,320878016
United States,USA,2016,323016000
United States,USA,2017,325084992
United States,USA,2018,327096000
United States,USA,2019,329064992
Puerto Rico,PRI,1950,2218000
Puerto Rico,PRI,1951,2194000
Puerto Rico,PRI,1952,2183000
Puerto Rico,PRI,1953,2182000
Puerto Rico,PRI,1954,2187000
Puerto Rico,PRI,1955,2196000
Puerto Rico,PRI,1956,2207000
Puerto Rico,PRI,1957,2221000
Puerto Rico,PRI,1958,2240000
Puerto Rico,PRI,1959,2264000
Puerto Rico,PRI,1960,2295000
Puerto Rico,PRI,1961,2334000
Puerto Rico,PRI,1962,2378000
Puerto Rico,PRI,1963,2425000
Puerto Rico,PRI,1964,2470000
Puerto Rico,PRI,1965,2508000
Puerto Rico,PRI,1966,2538000
Puerto Rico,PRI,1967,2561000
Puerto Rico,PRI,1968,2581000
Puerto Rico,PRI,1969,2604000
Puerto Rico,PRI,1970,2632000
Puerto Rico,PRI,1971,2666000
Puerto Rico,PRI,1972,2706000
Puerto Rico,PRI,1973,2750000
Puerto Rico,PRI,1974,2797000
